Date,Rate
2012-01-01,590
2012-02-01,590
2012-03-01,1760
2012-03-01,680
2012-04-01,740
2012-04-01,1700
2012-05-01,1650
2012-05-01,680
2012-06-01,700
2012-06-01,1700
2012-07-01,1500
2012-07-01,670
2012-08-01,1750
2012-08-01,650
2012-09-01,1500
2012-09-01,620
2012-10-01,650
2012-10-01,1500
2012-11-01,1450
2012-11-01,660
2012-12-01,1410
2012-12-01,680
2013-01-01,1350
2013-01-01,660
2013-02-01,640
2013-02-01,1350
2013-03-01,1140
2013-03-01,760
2013-04-01,760
2013-04-01,1140
2013-05-01,1500
2013-05-01,750
2013-06-01,770
2013-06-01,1490
2013-07-01,770
2013-07-01,1490
2013-08-01,1560
2013-08-01,800
2013-09-01,1450
2013-09-01,760
2013-10-01,1560
2013-10-01,760
2013-11-01,660
2013-11-01,1560
2013-12-01,1560
2013-12-01,680
2014-01-01,1330
2014-01-01,690
2014-02-01,1510
2014-02-01,720
2014-03-01,660
2014-03-01,1330
2014-04-01,1330
2014-04-01,650
2014-05-01,1330
2014-05-01,630
2014-06-01,1330
2014-06-01,640
2014-07-01,630
2014-07-01,1360
2014-08-01,1360
2014-08-01,650
2014-09-01,1360
2014-09-01,650
2014-10-01,1360
2014-10-01,660
2014-11-01,660
2014-11-01,1360
2014-12-01,700
2014-12-01,1360
2015-01-01,1360
2015-01-01,680
2015-03-01,1390
2015-03-01,670
2015-04-01,1390
2015-04-01,670
2015-05-01,650
2015-05-01,1390
2015-06-01,670
2015-06-01,1390
2015-07-01,1640
2015-07-01,670
2015-08-01,1490
2015-08-01,630
2015-09-01,1490
2015-09-01,600
2015-10-01,610
2015-10-01,1490
2015-11-01,1490
2015-11-01,600
2015-12-01,1490
2015-12-01,630
2016-01-01,1190
2016-01-01,600
2016-02-01,610
2016-02-01,1460
2016-03-01,590
2016-03-01,1160
2016-04-01,1390
2016-04-01,590
2016-05-01,1140
2016-05-01,580
2016-06-01,580
2016-06-01,1390
2016-07-01,580
2016-07-01,1250
2016-08-01,580
2016-09-01,1300
2016-09-01,570
2016-10-01,1450
2016-10-01,570
2016-11-01,1350
2016-11-01,580
2016-12-01,570
2017-01-01,1400
2017-01-01,600
2017-02-01,600
2017-03-01,1310
2017-03-01,640
2017-04-01,650
2017-05-01,670
2017-05-01,1550
2017-06-01,640
2017-07-01,1380
2017-07-01,620
2017-08-01,640
2017-09-01,1460
2017-09-01,630
2017-10-01,630
2017-11-01,640
2017-11-01,1350
2017-12-01,660
2018-01-01,1410
2018-01-01,640
2018-02-01,640
2018-03-01,1300
2018-03-01,630
2018-04-01,620
2018-05-01,660
2018-05-01,1310
2018-06-01,690
2018-07-01,1150
2018-07-01,750
2018-08-01,640
2018-09-01,640
2018-09-01,1340
2018-10-01,700
2018-11-01,1270
2018-11-01,710
2018-12-01,710
2019-01-01,1310
2019-01-01,730
2019-02-01,710
2019-03-01,980
2019-03-01,700
2019-04-01,1530
2019-04-01,700
2019-05-01,690
2019-05-01,1000
2019-06-01,1570
2019-06-01,690
2019-07-01,1360
2019-07-01,690
2019-08-01,1220
2019-08-01,680
2019-09-01,730
2019-09-01,1290
2019-10-01,710
2019-11-01,1280
2019-11-01,710
2019-12-01,750
2020-01-01,1360
2020-01-01,750
2020-02-01,740
2020-03-01,700
2020-03-01,1390
2020-04-01,1610
2020-04-01,710
2020-05-01,1420
2020-05-01,680
2020-06-01,1810
2020-06-01,700
2020-07-01,700
2020-07-01,1380
2020-08-01,720
2020-09-01,1420
2020-09-01,740
2020-10-01,750
2020-11-01,1340
2020-11-01,750
2020-12-01,770
2021-01-01,800
2021-01-01,1360
2021-02-01,1670
2021-02-01,780
2021-03-01,680
2021-03-01,1420
2021-04-01,1380
2021-05-01,1320
2021-05-01,1250
2021-06-01,1320
2021-07-01,1250
2021-07-01,1390
2021-08-01,1280
2021-09-01,1500
2021-09-01,1330
2021-10-01,1330
2021-11-01,1560
2021-11-01,1220
2021-12-01,1330
2022-01-01,1220
2022-01-01,1780
2022-02-01,1410
2022-03-01,1910
2022-03-01,1230
2022-04-01,1270
2022-05-01,1900
2022-05-01,1260
2022-06-01,1270
2022-07-01,1330
2022-07-01,2090
2022-08-01,1290
2022-09-01,2150
2022-09-01,1060
2022-10-01,980
2022-11-01,970
2022-11-01,1740
2022-12-01,1010
2023-01-01,980
2023-01-01,1520
2023-02-01,970
2023-03-01,1350
2023-03-01,980
2023-04-01,1000
2023-05-01,1280
2023-05-01,930
2023-06-01,820
2023-06-01,1270
2023-07-01,1210
2023-07-01,710
2023-08-01,1171
2023-08-01,700
2023-09-01,660
2023-09-01,1129
2023-10-01,611
2023-10-01,1109
2023-11-01,1151
2023-11-01,701
2023-12-01,1149
2023-12-01,682
2024-01-01,1155
2024-01-01,633
2024-02-01,680
2024-02-01,1116
2024-03-01,1162
2024-03-01,616
2024-04-01,1165
2024-04-01,544
2024-05-01,1169
2024-05-01,454
2024-06-01,460
2024-06-01,1164
2024-07-01,1088
2024-07-01,492
2024-08-01,1112
2024-08-01,551
2024-09-01,1013
2024-09-01,561
2024-10-01,610
2024-10-01,874
2024-11-01,906
2024-11-01,589
2024-12-01,555
2024-12-01,894
2025-01-01,958
2025-01-01,589
2025-02-01,898
2025-02-01,524
2025-03-01,580
2025-03-01,920
2025-04-01,574
2025-04-01,911
